Timestamp,Nama Lengkap,Jenis Kelamin,Lulus dari SMP,Lanjut ke Sekolah Menengah ...,Jurusan
8/25/2025 20:18:40,Student 73,Laki-laki,2023,SMK,Teknik Sepeda Motor
8/25/2025 20:18:46,Student 74,Perempuan,2024,SMA,Ilmu Pengetahuan Alam
8/25/2025 20:18:48,Student 75,Perempuan,2023,SMK,Pengembangan Perangkat Lunak dan Gim
8/25/2025 20:19:57,Student 76,Perempuan,2024,SMK,Akuntansi dan Keuangan Lembaga
8/25/2025 20:20:22,Student 77,Perempuan,2023,SMA,Ilmu Pengetahuan Sosial
8/25/2025 20:21:59,Student 78,Perempuan,2024,SMA,Ilmu Pengetahuan Alam
8/25/2025 20:22:37,Student 79,Perempuan,2024,SMK,Tata boga
8/25/2025 20:23:13,Student 80,Perempuan,2024,SMA,Ilmu Pengetahuan Alam
8/25/2025 20:27:06,Student 81,Perempuan,2024,SMA,Ilmu Pengetahuan Alam
8/25/2025 20:28:01,Student 82,Laki-laki,2024,SMK,Pengembangan Perangkat Lunak dan Gim
8/25/2025 20:28:28,Student 83,Perempuan,2025,SMA,Ilmu Pengetahuan Alam
8/25/2025 20:29:23,Student 84,Perempuan,2024,SMA,Ilmu Pengetahuan Alam
8/25/2025 20:29:24,Student 85,Perempuan,2024,SMK,Desain Komunikasi Visual
8/25/2025 20:29:48,Student 86,Perempuan,2024,SMA,Ilmu Pengetahuan Alam
8/25/2025 20:48:57,Student 87,Perempuan,2024,SMK,Keperawatan
8/25/2025 20:51:05,Student 88,Perempuan,2024,SMA,Ilmu Pengetahuan Alam
8/25/2025 20:56:53,Student 89,Laki-laki,2024,SMK,Teknik Sepeda Motor
8/25/2025 20:57:11,Student 90,Perempuan,2024,SMA,Ilmu Pengetahuan Alam
8/25/2025 20:58:46,Student 91,Laki-laki,2022,SMK,Teknik dan Bisnis Sepeda Motor
8/25/2025 20:59:04,Student 92,Laki-laki,2024,SMK,Desain Pemodelan dan Informasi Bangunan
8/25/2025 21:00:57,Student 93,Perempuan,2024,SMK,Farmasi
8/25/2025 21:06:06,Student 94,Laki-laki,2024,SMK,Teknik Permesinan
8/25/2025 21:20:14,Student 95,Laki-laki,2024,SMA,Ilmu Pengetahuan Alam
8/25/2025 21:20:29,Student 96,Perempuan,2024,SMA,Ilmu Pengetahuan Sosial
8/25/2025 21:25:52,Student 97,Laki-laki,2024,SMK,Desain Komunikasi Visual
8/25/2025 21:33:43,Student 98,Laki-laki,2024,SMK,Teknik Kendaraan Ringan
8/25/2025 21:46:08,Student 99,Perempuan,2024,SMK,Rekayasa Perangkat Lunak
8/25/2025 21:53:08,Student 100,Laki-laki,2023,SMK,Teknik Komputer dan Jaringan
8/25/2025 21:59:20,Student 101,Laki-laki,2023,SMK,Teknik Instalasi Tenaga Listrik
8/25/2025 22:13:48,Student 102,Perempuan,2024,SMA,Ilmu Pengetahuan Alam
8/25/2025 23:04:48,Student 103,Perempuan,2025,SMK,Pemasaran
8/26/2025 6:27:31,Student 104,Perempuan,2024,SMK,Teknik Komputer dan Jaringan
8/26/2025 6:59:38,Student 105,Perempuan,2024,SMK,Akuntansi dan Keuangan Lembaga
