Timestamp;Nama Lengkap;Jenis Kelamin;Lulus dari SPENSANA  ...;Lanjut ke Sekolah Menengah ...;Jurusan ...
8/25/2025 20:51:05;Siswa 88;Perempuan;2024;SMA;IPA
8/25/2025 20:56:53;Siswa 89;Laki-laki;2024;SMK;teknik sepedah motor
8/25/2025 20:57:11;Siswa 90;Perempuan;2024;SMA;IPA
8/25/2025 20:58:46;Siswa 91;Laki-laki;2022;SMK;TBSM
8/25/2025 20:59:04;Siswa 92;Laki-laki;2024;SMK;Desain Pemodelan dan Informasi Bangunan
8/25/2025 21:00:57;Siswa 93;Perempuan;2024;SMK;Farmasi
8/25/2025 21:06:06;Siswa 94;Laki-laki;2024;SMK;Teknik pemesinan
8/25/2025 21:20:14;Siswa 95;Laki-laki;2024;SMA;IPA
8/25/2025 21:20:29;Siswa 96;Perempuan;2024;SMA;IPS
8/25/2025 21:25:52;Siswa 97;Laki-laki;2024;SMK;Desain Komunikasi Visual
8/25/2025 21:33:43;Siswa 98;Laki-laki;2024;SMK;teknik kendaraan ringgan
8/25/2025 21:46:08;Siswa 99;Perempuan;2024;SMK;REKAYASA PERANGKAT LUNAK
8/25/2025 21:53:08;Siswa 100;Laki-laki;2023;SMK;Teknik Komputer dan Jaringan (TKJ)
8/25/2025 21:59:20;Siswa 101;Laki-laki;2023;SMK;Teknik Instalasi Tenaga Listrik
8/25/2025 22:13:48;Siswa 102;Perempuan;2024;SMA;IPA
8/25/2025 23:04:48;Siswa 103;Perempuan;2025;SMK;Jurusan pemasaran
8/26/2025 6:27:31;Siswa 104;Perempuan;2024;SMK;Kelas khusus Axioo class program
8/26/2025 6:59:38;Siswa 105;Perempuan;2024;SMK;Akuntansi dan Keuangan Lembaga
8/26/2025 8:27:19;Siswa 106;Perempuan;2024;SMA;IPA
8/26/2025 9:02:42;Siswa 107;Perempuan;tahun 2024;SMK;SMKN 3 KUNINGAN : TEKNIK OTAMASI INDUSTRI
8/26/2025 9:53:04;Siswa 108;Perempuan;2025;SMK;Pemasaran
8/26/2025 9:54:20;Siswa 109;Perempuan;2025;SMK;PEMASARAN / BISNIS RITEL
8/26/2025 11:04:12;Siswa 110;Laki-laki;2024;SMA;ips
8/26/2025 17:32:10;Siswa 111;Perempuan;2024;SMA;IPS
8/26/2025 18:04:46;Siswa 112;Laki-laki;2024;SMK;Teknik Ketenagalistrikan
8/26/2025 18:21:24;Siswa 113;Perempuan;2024;SMA;IPA
8/26/2025 19:09:35;Siswa 114;Perempuan;20223;SMK;tjk
8/26/2025 19:20:51;Siswa 115;Perempuan;2024;SMA;IPA
8/26/2025 19:40:10;Siswa 116;Laki-laki;2025;SMK;SMK N 3 KUNINGAN (TOI)
8/26/2025 22:57:26;Siswa 117;Perempuan;2025;SMK;Teknik Otomasi Industri
8/27/2025 21:11:29;Siswa 118;Perempuan;2024;SMA;ips
8/30/2025 9:32:55;Siswa 119;Perempuan;2025;SMA;IPS
8/30/2025 9:42:34;Siswa 120;Perempuan;2025;SMA;IPS
8/30/2025 10:03:38;Siswa 121;Perempuan;2025;SMA;IPS
